,Title,Available Globally?,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description
12468,Time of Happiness // Mutluluk Zamanı,No,,300000,5738.0,5.9,"['Comedy', 'Romance']",,"True love is not about perfection, it is hidden in flaws. Mert creates his perfect life without facing his own past and Ada builds her own way of life based on all of her personal experiences in the past."
12469,Title Holder // حامل اللقب,No,,300000,,,"['Short', 'Drama', 'Sport']",,"Chuck, an unscrupulous training-camp hanger-on, and a would-be Follies queen, plot to have the latter photographed with the Champion for publicity&apos;s sake. Meanwhile, Jack&apos;s pants having been burnt by the careless ironing of Beans,..."
12470,To Catch the Kaidash: Season 1 // Спіймати Кайдаша: Season 1,No,,300000,882.0,8.9,"['Comedy', 'Drama']",,
12472,Toni Morrison: The Pieces I Am,No,,300000,896.0,7.7,['Documentary'],meditation,"This artful and intimate meditation on the legendary storyteller examines her life, her works and the powerful themes she has confronted throughout her literary career."
12483,Trailer Park Boys: Say Goodnight to the Bad Guys,Yes,,300000,3887.0,7.8,['Comedy'],"delorean dmc 12,underwear,man wears underwear,driving a car without a door,female nudity","It has been one year since the boys have become rich. Julian decided to keep the money safe, but when it comes time for everyone to get their share, the money is lost forever."
12484,Trippin' with the Kandasamys,Yes,2021-06-04,300000,439.0,5.2,"['Comedy', 'Romance']","sequel,third part,black,trip,vacation","To rekindle their marriages, best friends-turned-in-laws Shanthi and Jennifer plan a couples&apos; getaway. But it comes with all kinds of surprises."
12487,Tughlaq Durbar,No,,300000,1764.0,5.3,"['Comedy', 'Drama', 'Thriller']",,"A budding politician has devious plans to rise in the ranks, until he suddenly develops an alter ego that interferes with his every crooked move."
12488,Tunnel (2019): Season 1,No,,300000,,,['Sport'],,
12489,Turkish Dance School // Sen Kiminle Dans Ediyorsun,No,,300000,2597.0,5.6,['Comedy'],,"Selim a young doctor in search of the 100th patient to finish his thesis comes across a beautiful young girl, Aysel who has tried to commit a suicide. As a possible cure, dance become their main focus and by coincidence they find ..."
12490,Two Times You // Dos veces tú,No,,300000,,,,,
12491,Two Weeks to a Stronger Core: Volume 1,Yes,,300000,,,,,
12492,U Pana Boga w ogródku,No,,300000,812.0,6.3,['Comedy'],"village priest,provincial life,peeping tom,drunk driving,witness","Marian, the worst graduate of police academy, joins the police force in the small town of Krolowy Most and immediately falls in love with pregnant daughter of the police chief. Meanwhile, crown witness in the mafia case comes to t..."
12493,Ultimate Beastmaster Germany: Survival of the Fittest,No,2018-08-31,300000,,,,,
12494,Ultimate Beastmaster Great Britain: Survival of the Fittest,No,2018-08-31,300000,,,,,
12496,Un Paso Adelante: Season 6,No,,300000,125218.0,6.5,"['Crime', 'Drama', 'Music']","title directed by female,dance school,dance movie,dancing,dance music",
12497,Una festa esagerata,No,,300000,261.0,5.4,['Comedy'],,
12498,Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,Yes,2020-05-12,300000,,,,,
12500,Under the Shadow,Yes,,300000,29676.0,6.8,"['Drama', 'Fantasy', 'Horror']","little girl,three word title,written by director,female protagonist,family relationships","As a mother and daughter struggle to cope with the terrors of the post-revolution, war-torn Tehran of the 1980s, a mysterious evil begins to haunt their home."
12501,Underworld: Rise of the Lycans,No,,300000,166247.0,6.5,"['Action', 'Fantasy', 'Thriller']","vampire,slave,werewolf,prequel,sword fight",
12502,Unforgettable (2019),No,,300000,350.0,7.4,['Drama'],"journey,friend","Jasmine takes her newfound canine friend Happy on a journey to her grandmother in Baguio, where they face challenges and help strangers along the way."
12503,Unicorn Store,Yes,2019-04-05,300000,20565.0,5.6,"['Comedy', 'Drama', 'Fantasy']","unicorn,directed by star,reference to beyonce,vacuum,stable","Kit, a twenty-something dreamer, receives an invitation that would fulfill her childhood dreams."
12505,Unli Life,No,,300000,62.0,6.0,['Comedy'],"alarm clock,waking up in strange surroundings,radio personality,taking a bath,breakfast","A man discovers a magical bottle of whiskey which would let him go back in time. The perfect solution that would help him get back with his ex-girlfriend, he goes from different eras, hoping that he could go back to the time where..."
