,Title,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description,Release Year,Release Month,Release Day,Available Globally
3056,Seventh Son,0,6200000,79824,5.5,"['Action', 'Adventure', 'Fantasy']","witch,sword and sorcery,apprentice,master apprentice relationship,sword and fantasy","When Mother Malkin, the queen of evil witches, escapes the pit she was imprisoned in by professional monster hunter Spook decades ago and kills his apprentice, he recruits young Tom, the seventh son of the seventh son, to help him.",0,0,Unknown,No
3058,Skyfall,0,6200000,722014,7.8,"['Action', 'Adventure', 'Thriller']","007,death of major character,official bond film,official james bond series,james bond character","James Bond&apos;s loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",0,0,Unknown,No
3059,Sniper: Legacy,0,6200000,5739,5.3,"['Action', 'Thriller', 'War']","military,santorini greece,revenge,view through rifle scope,female soldier knocked unconscious",unknown,0,0,Unknown,No
3060,Tara VS. Bilal // तारा वर्सेस बिलाल,0,6200000,2521,5.8,"['Comedy', 'Drama', 'Romance']","group of gay men,gay club in london,gay romance,gay pole dancer,marriage","Set in London, a romantic comedy where the leading character enter a fake marriage and later fall in love.",0,0,Unknown,No
3061,The Bourne Supremacy,0,6200000,481151,7.7,"['Action', 'Mystery', 'Thriller']","hidden truth,suspense,secret past,dark past,amnesia",unknown,0,0,Unknown,No
3062,The Circle: Season 2,2021-04-14 00:00:00,6200000,8165,8.7,"['Drama', 'Horror', 'Thriller']","single player,xbox 360,microsoft windows,playstation 3,graphic adventure","Left to fend for herself, Clementine has been forced to learn how to survive in a world gone mad. Many months have passed and she is in search of safety.",2021,4,Wednesday,Yes
3063,The Dragon Prince: Season 4,2022-11-03 00:00:00,6200000,261,7.1,"['Animation', 'Adventure', 'Family']","mother son relationship,apparition,loss,maternal love,rabbit","Prince Susano&apos;s mother dies; when his father tells him she has gone to another place, he sets off in search of her. He builds a boat and goes to see, first, his brother, in his crystal palace in the land of night (where he causes ...",2022,11,Thursday,Yes
3064,The Water Man,2021-07-09 00:00:00,6200000,4498,5.6,"['Adventure', 'Drama', 'Family']","boy,cemetery,funeral,electric scooter,directed by cast member",A boy sets out on a quest to save his ill mother by searching for a mythic figure said to have magical healing powers.,2021,7,Friday,No
3065,The Way of the Househusband: Season 1 // 極主夫道: シーズン1,2021-04-08 00:00:00,6200000,104,5.9,"['Action', 'Comedy']",unknown,A former Yakuza Boss has swapped his criminal underworld life and position for the apron and domesticity for his family as only he could... this is the Way of The Househusband.,2021,4,Thursday,Yes
3066,To the Bone,2017-07-14 00:00:00,6200000,53829,6.8,['Drama'],"anorexia,eating disorder,reference to tumblr,sketch artist,sister sister relationship","A young woman, dealing with anorexia, meets an unconventional doctor who challenges her to face her condition and embrace life.",2017,7,Friday,Yes
